name,total,daily,peak,peak listeners
The Weeknd,108390904,178472,1,112784838
Taylor Swift,84024465,44341,2,85510279
Ed Sheeran,83307026,13920,3,84303920
Miley Cyrus,79065190,-3361,2,84140935
Rihanna,76029357,94007,2,80958750
Shakira,74472792,-70629,3,82268835
Ariana Grande,73400857,-21879,3,82981758
Justin Bieber,73075134,26144,8,75467229
Drake,72184054,119312,9,72184054
David Guetta,72003542,154189,7,72111517
Bad Bunny,68023336,286583,11,68023336
SZA,67366601,28055,9,69932543
Eminem,66891674,27829,11,68591390
Harry Styles,65037249,15125,13,66411599
Calvin Harris,64953382,86981,15,64953382
Coldplay,63672473,113040,15,63704480
Dua Lipa,61747891,58812,16,62473406
Imagine Dragons,61248373,129932,18,61248373
Bruno Mars,59910098,124949,19,59910098
Sam Smith,59508684,-26795,7,73972799
21 Savage,58881866,-71093,19,61319583
Post Malone,58275392,278408,22,58275392
Selena Gomez,57728950,-46357,22,58879269
Maroon 5,55840021,80594,23,56402723
Lady Gaga,55559570,82553,22,57730508
Marshmello,55240248,-26983,25,55402862
Future,54482813,433255,27,54482813
Doja Cat,54309809,102857,27,54309809
Kanye West,53927802,58609,27,53927802
Khalid,53405725,21832,28,53447844
Billie Eilish,53391555,40304,30,53391555
Metro Boomin,52962240,-5675,26,54441935
Katy Perry,52930336,63855,29,52957538
KAROL G,52316135,-81073,21,59143777
J Balvin,51826568,86156,33,51826568
Adele,51664357,96677,34,51664357
Rauw Alejandro,51461317,-126445,34,52131934
Nicki Minaj,50910267,248201,38,50910267
Chris Brown,50833168,-38711,25,54390450
Daddy Yankee,50765150,120391,36,50765150
Beyonc�,49061245,6286,26,53272966
Elton John,48906110,116851,40,48906110
Travis Scott,48616999,117850,43,48616999
OneRepublic,48406952,29659,39,48817506
Ozuna,48282719,71099,40,48529412
Queen,47573407,151921,46,47573407
Sia,46659747,68300,43,47868578
Bebe Rexha,46282954,10863,37,49496274
ROSAL�A,45779950,-177298,47,46715627
Shawn Mendes,45626866,102361,45,45955363
Bizarrap,44665491,-190571,28,54300662
Ellie Goulding,44537147,77314,52,44537147
Kendrick Lamar,44505040,70314,51,44505040
Ti�sto,44397651,23920,44,46094072
Arctic Monkeys,43928175,57129,53,43928175
Halsey,43470905,65221,48,45939636
Lana Del Rey,43139635,30376,53,43671330
Charlie Puth,42520071,-83437,58,42603508
Peso Pluma,41726917,411859,59,41726917
Black Eyed Peas,40543456,57255,57,40543456
Camila Cabello,40048510,60242,57,40454168
Rema,39079341,-12237,60,39406909
One Direction,39055646,48117,61,39055646
Feid,38223480,58827,61,38789450
Farruko,37805765,107815,65,37805765
Olivia Rodrigo,36299627,16874,66,36299627
Ice Spice,36171281,-45034,64,38464468
Michael Jackson,36100100,66882,68,36100100
XXXTENTACION,36084962,-15763,68,36180819
Avicii,35991023,43895,70,35991023
Lewis Capaldi,35962575,193483,71,35962575
P!nk,35914445,38088,68,36911512
JAY-Z,35909963,19740,66,37146089
The Chainsmokers,35811701,54102,74,35811701
J. Cole,35515450,-21261,63,38761672
PinkPantheress,35485358,-146008,60,39844680
Linkin Park,35430788,-70886,69,35852548
BTS,35343491,-24235,63,37492886
The Kid LAROI,34744950,-36911,50,44114355
Labrinth,34505249,340433,80,34505249
Pitbull,34456408,72359,80,34456408
Maluma,34213516,-21789,77,35229847
Lil Uzi Vert,33971888,-139817,67,37099004
Lil Nas X,33898060,-1562,61,37597256
Becky G,33795010,133818,85,33795010
Quevedo,33685296,49665,77,34995399
James Arthur,33678364,21141,82,34127274
Manuel Turizo,33515208,-15315,66,38186155
Coi Leray,33362108,241417,89,33362108
Anuel AA,33282425,68639,87,33655933
Myke Towers,33158106,-3539,88,33223075
Kim Petras,33122416,-12821,43,46551289
Meghan Trainor,33045621,-33394,69,37377997
Anne-Marie,32985154,320643,94,32985154
Sean Paul,32874235,302502,95,32874235
Stephen Sanchez,32859279,36508,82,34322910
Tyler The Creator,32782344,89868,95,32782344
Britney Spears,32776611,48294,92,32776611
Jason Derulo,32159392,92905,87,33599713
Grupo Frontera,32153992,681395,100,32153992
The Neighbourhood,31808291,7848,91,32280089
Eslabon Armado,31598207,425109,102,31598207
Miguel,31575304,-2560,80,34144669
Lil Wayne,31544571,-85791,91,32828472
RAYE,31525671,-49043,70,36484906
Diplo,31493112,117105,106,31493112
50 Cent,31464159,10698,93,32284400
Wiz Khalifa,31362393,-55583,103,31417976
Juice WRLD,31109254,-48053,94,31978167
Jack Harlow,31079707,100710,107,31079707
Snoop Dogg,30872141,46000,109,30872141
DaBaby,30628896,-65490,103,30808575
Lil Baby,30580717,-49448,100,30744406
The Beatles,30496554,98397,108,30496554
DJ Snake,30235501,34162,108,30235501
Justin Timberlake,30121979,35378,108,30121979
d4vd,30028485,5810,94,31836766
Ava Max,29961817,20736,99,31558578
Arijit Singh,29885942,88953,106,30090086
Cardi B,29853373,8746,98,31450819
Gorillaz,29480384,-60092,54,41977704
Young Thug,29469046,9626,121,29469046
Red Hot Chili Peppers,29285305,36181,122,29285305
Robin Schulz,29267064,-13378,76,34908935
Demi Lovato,29192507,-236345,102,30573042
Fleetwood Mac,29184351,49622,125,29184351
Pritam,29063713,76355,118,29063713
Yng Lvcas,29005266,335400,128,29005266
JVKE,28823154,90359,117,29051661
Tate McRae,28648790,-10908,93,32013045
Macklemore,28645042,-16803,127,28661845
Kygo,28640599,-45572,127,28902779
Chencho Corleone,28610787,47025,106,29784207
Kali Uchis,28574416,160438,134,28574416
Arc�ngel,28439173,-107485,112,29918189
Hozier,28299371,-93721,105,30293009
Don Omar,28230496,112436,133,28230496
Jhayco,28206500,103929,138,28206500
Glass Animals,28044257,-10222,132,28077809
Ty Dolla $ign,27955506,-66172,132,28263530
Flo Rida,27917430,-24617,139,27942047
FIFTY FIFTY,27754320,516193,142,27754320
AC/DC,27733613,31803,137,27733613
Nirvana,27602878,12371,132,27602878
Pharrell Williams,27559944,305480,145,27559944
A.R. Rahman,27546862,104286,145,27546862
Calum Scott,27537892,35408,131,27537892
Steve Lacy,27357480,20054,111,29765204
Tom Odell,27142755,-412,122,28365299
Guns N' Roses,26888413,47304,143,26888413
Metallica,26856261,2488,144,26870829
ABBA,26672277,77967,148,26672277
Don Toliver,26563120,18799,111,29512213
Em Beihold,26446912,42597,135,26623317
Joji,26340431,-9695,116,29284554
Swae Lee,26273230,59116,148,26273230
Frank Ocean,26221856,93229,157,26221856
Romeo Santos,26201442,17602,113,29261273
Alan Walker,26149930,87535,152,26149930
070 Shake,26050123,-67343,101,30903161
Yandel,26047878,-10462,126,27875326
Usher,25898690,32332,151,25898690
Daniel Caesar,25657965,110687,163,25657965
Creedence Clearwater Revival,25632556,28489,154,25898251
A$AP Rocky,25502434,-34577,160,25798774
DJ Khaled,25411409,-43329,124,27862957
Oliver Tree,25303041,-103781,85,33995315
Green Day,25296133,23400,161,25296133
Elley Duh�,25191971,7117,150,25586962
Sebastian Yatra,25097217,19888,137,26358160
Bon Jovi,25093432,65316,166,25093432
Giveon,24841201,-13056,145,25256024
Madonna,24806222,-3136,157,24964277
Tame Impala,24647147,125224,163,24647147
Pop Smoke,24624035,13940,162,24624035
Shreya Ghoshal,24575400,70514,169,24575400
Gunna,24343351,20214,159,24426525
The Rolling Stones,24325913,61762,174,24325913
Polo G,24312785,-118717,170,24908452
Panic! At The Disco,24181222,-42009,179,24223231
BLACKPINK,24146038,93175,181,24146038
Bee Gees,24062425,76203,181,24062425
Morgan Wallen,24049345,-115,168,24125209
Nicky Jam,24010081,23791,176,24010081
Sabrina Carpenter,23874615,4077,171,24245686
Tyga,23872290,-18981,176,23891271
Natanael Cano,23754938,132040,187,23754938
Whitney Houston,23754719,69753,186,23754719
Nicki Nicole,23718312,111161,178,23718312
Kodak Black,23713303,20487,165,24387635
Eladio Carrion,23712248,-14513,159,25486367
Lost Frequencies,23684361,44465,186,23684361
Megan Thee Stallion,23651694,-21430,163,24128927
Christina Aguilera,23610095,54494,178,23610095
The Police,23584861,88305,187,23584861
Kid Cudi,23438841,17429,186,23438841
Zara Larsson,23403905,41482,197,23403905
Twenty One Pilots,23396371,12573,197,23396371
Lizzo,23373446,-25761,105,30100497
Niall Horan,23348278,140536,129,27578996
Alicia Keys,23347686,59383,186,23347686
Mariah Carey,23209427,22688,161,24472844
Martin Garrix,23179364,16580,175,23410222
M�neskin,22964057,3433,134,26818201
Conan Gray,22899492,9762,182,23296895
2Pac,22892182,35561,205,22892182
John Legend,22846575,9581,156,24516883
Dr. Dre,22764137,29861,199,22764137
Enrique Iglesias,22623553,78705,209,22623553
Major Lazer,22558437,32934,210,22558437
Mark Ronson,22508223,-4918,189,23123246
Aerosmith,22490739,19660,201,22601429
Childish Gambino,22484834,-2972,209,22505800
Swedish House Mafia,22406090,863,203,22406090
Mac Miller,22355991,-6135,202,22362126
Alok,22349422,9183,179,23237853
Wisin & Yandel,22293598,15053,173,23350285
Jennifer Lopez,22289290,43506,207,22289290
Vance Joy,22275451,52727,219,22275451
Sech,22272458,-6405,174,23591625
Disney,22262463,18293,217,22262463
Duki,22155062,-33185,185,23264429
TINI,22109504,2630,194,22906402
ZAYN,22094761,23425,223,22094761
Fall Out Boy,22076838,-23166,207,22602083
Junior H,22001053,83339,226,22001053
Jonas Brothers,21984864,52961,219,21984864
Akon,21895416,29993,218,21895416
MEDUZA,21749626,-3838,222,21753464
Tainy,21711656,-11879,209,21947001
Billy Joel,21675461,54033,231,21675461
Roddy Ricch,21655727,-32733,205,22633632
The Notorious B.I.G.,21642315,-8192,202,22604823
Zion & Lennox,21511653,20740,234,21511653
Ruth B.,21494198,86995,224,21494198
Anitta,21365738,28685,151,24747002
Fuerza Regida,21288224,97774,237,21288224
Luis Fonsi,21262064,44347,214,21741741
Clean Bandit,21242710,29035,234,21242710
Anderson .Paak,21222476,964,197,22604620
Ne-Yo,21212415,52668,221,21782747
Jonas Blue,21116508,51112,242,21116508
Central Cee,21084214,-64090,125,28289817
The Killers,21049168,660,239,21058938
Felix Jaehn,20896147,43505,194,22698876
Tory Lanez,20788670,-16503,235,20842253
Skrillex,20761538,-36521,175,23635431
R3HAB,20673802,3907,240,20673802
Radiohead,20648456,-4646,234,20871274
Daft Punk,20622853,24865,248,20622853
Vishal-Shekhar,20580552,65455,219,21422981
A Boogie Wit da Hoodie,20577467,108763,252,20577467
Foo Fighters,20551966,54364,253,20551966
PNAU,20548726,9513,220,21972388
Macklemore & Ryan Lewis,20533092,-33203,251,20566295
5 Seconds of Summer,20506867,22044,252,20506867
Ryan Lewis,20492235,-35184,253,20527419
U2,20405819,51092,233,20920933
Nelly Furtado,20323688,59477,259,20323688
Young Miko,20213898,130314,260,20213898
Alesso,20138331,13801,259,20138331
�engo Flow,20132034,-9688,207,22145574
Steve Aoki,20022955,-56022,216,21606912
Lorde,19939063,67301,264,19939063
Big Sean,19911904,-25848,252,20137963
Bastille,19813812,21318,266,19813812
Maria Becerra,19745984,52993,236,20679465
Outkast,19715460,30214,268,19715460
Lil Durk,19664831,-11038,215,21674299
Tanishk Bagchi,19640982,62195,241,20405513
Camilo,19623327,44364,249,19932047
NewJeans,19538586,-13711,202,22353044
Melanie Martinez,19536807,-134933,257,20251491
JID,19502618,-3047,243,20333763
Summer Walker,19412407,32218,249,20229504
David Kushner,19370027,665709,276,19370027
Reik,19361056,14823,253,19812921
Mora,19354076,53128,245,20110955
Ovy On The Drums,19353086,34386,256,19658860
Eagles,19344449,24885,276,19344449
NF,19326010,32470,280,19326010
Pink Floyd,19274568,-22339,258,19735588
NLE Choppa,19233858,60115,283,19233858
Danny Ocean,19217593,-8948,270,19413332
Christian Nodal,19210262,40375,226,20998189
Phil Collins,19194707,47061,283,19194707
Justin Quiles,19175430,4734,223,21467956
Amitabh Bhattacharya,19159498,49310,254,19772337
Trippie Redd,19153196,17335,214,21902815
Avril Lavigne,19037026,159113,290,19037026
Carin Leon,19030171,53953,256,19693467
Paramore,19029615,11602,261,19561438
blackbear,18994542,-57197,259,19585895
Rosa Linn,18922676,-24621,213,22368082
Oasis,18864142,32148,294,18864142
Gabito Ballesteros,18863831,141283,296,18863831
Bryan Adams,18856891,33989,289,18856891
League of Legends,18832265,14194,266,19497150
Kesha,18808436,51639,299,18808436
Luke Combs,18784015,25404,295,18784015
Migos,18780177,17261,297,18780177
YoungBoy Never Broke Again,18703002,-44443,288,19009379
Becky Hill,18665589,-19004,257,19688989
Led Zeppelin,18658182,7518,294,18658182
De La Ghetto,18520981,-25528,238,20551958
Dean Lewis,18474099,11516,266,19535547
Lil Tjay,18417045,-94437,268,19447627
The Lumineers,18380393,48431,308,18380393
George Ezra,18364138,21667,291,18364138
TOTO,18290516,57778,310,18290516
Imanbek,18288905,10995,280,18669813
Stevie Wonder,18260132,17210,298,18398675
Julia Michaels,18257337,39069,312,18257337
